al_#,PON ID
98.002,PON.127
98.002,PON.N66
15.678,PON.3Q
15.678,PON.T125
15.615,PON.7Q
15.615,PON.N26
15.615,PON.T125
10.500,PON.49
10.500,PON.50
10.703,PON.4Q
10.703,PON.5Q
11.434,PON.N22
11.434,PON.T52
10.705,PON.N29
10.664,PON.N26
10.664,PON.N29
10.202,PON.102
10.202,PON.N28
15.222,PON.4J
15.222,PON.T55
11.405,PON.103
11.405,PON.N28
15.956,PON.T53
15.945,PON.T122
11.472,PON.N22
15.812,PON.N26
15.554,PON.11Q
15.554,PON.3Q
15.554,PON.9Q
93.153,PON.T89
16.073,PON.159
16.072,PON.159
16.068,PON.159
16.068,PON.N36
11.482,PON.2Q
11.482,PON.6Q
11.482,PON.9Q
21.029,PON.2C
21.029,PON.N2
10.130,PON.N23
10.132,PON.N23
21.018,PON.866
21.018,PON.868
21.027,PON.49
21.027,PON.117
12.026,PON.7F
16.602,PON.103
16.602,PON.127
16.603,PON.127
16.603,PON.N36
16.601,PON.N36
20.339,PON.T34
20.339,PON.T35
20.339,PON.T36
11.066,PON.12B
11.066,PON.N27
11.066,PON.65
10.709,PON.3Q
10.709,PON.N29
19.704,PON.159
19.704,PON.11IA
19.704,PON.N35
97.161,PON.5ND
97.161,PON.7ND
97.161,PON.N50
81.260,PON.N36
16.756,PON.10
16.756,PON.145
32.006,PON.876
32.006,PON.T89
20.246,PON.103
20.246,PON.8C
20.246,PON.T34
84.354,PON.3G
TC.123,PON.1G
TC.123,PON.T91
TC.035,PON.866
TC.035,PON.10E
TC.124,PON.179
TC.124,PON.866
TC.136,PON.828
TC.136,PON.860
TC.136,PON.N68
TC.036,PON.834
TC.036,PON.T91
TC.141,PON.T91
TC.109,PON.144
TC.021,PON.866
TC.021,PON.N73
TC.008,PON.866
TC.068,PON.835
TC.068,PON.T91
TC.037,PON.10E
TC.037,PON.T91
TC.098,PON.866
16.051,PON.827
16.051,PON.12P
16.575,PON.N37
16.582,PON.827
16.582,PON.N37
